identifier,type,research_areas,creation_mode,completeness,number_of_resources,numer_of_views,number_of_downloads
0b9a7ee9-6910-4325-b1e2-49a3ad56a2f4,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
133a40d4-1dca-4eca-af18-c0de7673f5f8,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
ebb11a5f-af54-4f09-b73b-fa4e6183b5db,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,9
a2801a4e-07b6-4b7c-81e2-1876198607ae,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
381b64aa-5200-470c-95f5-9700574e35c8,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
edc05716-618c-4768-b4b7-20fe72e6eb62,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
2490179f-82e8-4b60-857a-995bb34dc6e5,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
cffbf885-4fc5-448f-8f25-18d77b3845a9,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
14e1511b-bab6-4de9-af0f-58f0260ca3b9,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
39fa2cb9-4b4b-4dfb-92a5-936362a47547,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
cdac0bc1-76ca-4680-9792-1b0b5ce7a013,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
782a6c72-51e9-431a-8cea-a30e9de64955,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,13
cc9dceee-85c6-4afd-b435-2d4d57955e40,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
76bc1be3-8c05-464f-b3c3-f912b275e3bc,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,13
bedb6ab1-b75b-48f1-b247-0719e5476edb,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
46a0d533-54ce-4f4d-b08b-e3d69f3ce547,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
313ec5e5-a02f-4fa9-b38e-9eb08cc768b7,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
1b4aad13-e92d-473b-bd48-035ba9efe2bd,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
3fd58d94-9bee-458b-bdee-a449f9a6302e,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
326d655c-be3e-487b-ae37-f00a27cf55c6,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
813773d4-f55f-447e-96c2-980e7ea1fe53,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
bcacc6d4-85b9-4bcd-a55a-6700caaaa797,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
a6a1632e-a642-4afc-9a5a-32328785b159,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
d2b4d330-5ad4-4a50-9010-c995dd5b9bbf,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
3ce39b4d-f36a-4d7b-a3c2-7437c2f367b4,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
5561ef59-f55c-4505-933c-721d543079c0,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
9f863302-126e-4201-a1ca-3e0dbe5571d9,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
1de5dd82-8f6b-4421-b541-3dd3a1ef5f37,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
e69fcdbc-63a0-4e44-857a-112d76bacf4f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
